iNode,nodeLabel,Network,Subnetwork,xMNI,yMNI,zMNI
1,17Networks_LH_VisCent_ExStr_1,Visual,Visual Cent,-36,-62,-16
2,17Networks_LH_VisCent_ExStr_2,Visual,Visual Cent,-24,-72,-10
3,17Networks_LH_VisCent_ExStr_3,Visual,Visual Cent,-36,-82,-16
4,17Networks_LH_VisCent_ExStr_4,Visual,Visual Cent,-16,-86,-16
5,17Networks_LH_VisCent_ExStr_5,Visual,Visual Cent,-24,-96,-12
6,17Networks_LH_VisCent_ExStr_6,Visual,Visual Cent,-42,-86,-4
7,17Networks_LH_VisCent_ExStr_7,Visual,Visual Cent,-8,-98,-8
8,17Networks_LH_VisCent_ExStr_8,Visual,Visual Cent,-46,-74,6
9,17Networks_LH_VisCent_ExStr_9,Visual,Visual Cent,-24,-96,6
10,17Networks_LH_VisCent_ExStr_10,Visual,Visual Cent,-40,-84,14
11,17Networks_LH_VisCent_ExStr_11,Visual,Visual Cent,-10,-96,18
12,17Networks_LH_VisCent_ExStr_12,Visual,Visual Cent,-26,-84,22
13,17Networks_LH_VisPeri_ExStrSup_1,Visual,Visual Peri,-24,-54,-8
14,17Networks_LH_VisPeri_ExStrSup_2,Visual,Visual Peri,-12,-62,-4
15,17Networks_LH_VisPeri_ExStrSup_3,Visual,Visual Peri,-6,-76,-6
16,17Networks_LH_VisPeri_ExStrSup_4,Visual,Visual Peri,-14,-44,-6
17,17Networks_LH_VisPeri_ExStrSup_5,Visual,Visual Peri,-14,-56,2
18,17Networks_LH_VisPeri_ExStrSup_6,Visual,Visual Peri,-4,-88,2
19,17Networks_LH_VisPeri_ExStrSup_7,Visual,Visual Peri,-8,-74,10
20,17Networks_LH_VisPeri_ExStrSup_8,Visual,Visual Peri,-18,-64,6
21,17Networks_LH_VisPeri_ExStrSup_9,Visual,Visual Peri,-2,-84,24
22,17Networks_LH_VisPeri_ExStrSup_10,Visual,Visual Peri,-12,-72,20
23,17Networks_LH_VisPeri_ExStrSup_11,Visual,Visual Peri,-16,-88,34
24,17Networks_LH_VisPeri_ExStrSup_12,Visual,Visual Peri,-12,-82,36
25,17Networks_LH_SomMotA_1,SomMot,SomMot A,-8,-16,48
26,17Networks_LH_SomMotA_2,SomMot,SomMot A,-40,-14,48
27,17Networks_LH_SomMotA_3,SomMot,SomMot A,-48,-18,54
28,17Networks_LH_SomMotA_4,SomMot,SomMot A,-48,-30,58
29,17Networks_LH_SomMotA_5,SomMot,SomMot A,-38,-24,52
30,17Networks_LH_SomMotA_6,SomMot,SomMot A,-8,-38,54
31,17Networks_LH_SomMotA_7,SomMot,SomMot A,-4,-24,56
32,17Networks_LH_SomMotA_8,SomMot,SomMot A,-4,-8,60
33,17Networks_LH_SomMotA_9,SomMot,SomMot A,-36,-20,64
34,17Networks_LH_SomMotA_10,SomMot,SomMot A,-32,-30,62
35,17Networks_LH_SomMotA_11,SomMot,SomMot A,-30,-38,66
36,17Networks_LH_SomMotA_12,SomMot,SomMot A,-24,-10,64
37,17Networks_LH_SomMotA_13,SomMot,SomMot A,-20,-24,66
38,17Networks_LH_SomMotA_14,SomMot,SomMot A,-8,-42,70
39,17Networks_LH_SomMotA_15,SomMot,SomMot A,-4,-26,68
40,17Networks_LH_SomMotA_16,SomMot,SomMot A,-14,-12,72
41,17Networks_LH_SomMotA_17,SomMot,SomMot A,-18,-32,68
42,17Networks_LH_SomMotA_18,SomMot,SomMot A,-18,-40,72
43,17Networks_LH_SomMotA_19,SomMot,SomMot A,-12,-26,74
44,17Networks_LH_SomMotB_Aud_1,SomMot,SomMot B,-50,-10,0
45,17Networks_LH_SomMotB_Aud_2,SomMot,SomMot B,-56,-22,8
46,17Networks_LH_SomMotB_Aud_3,SomMot,SomMot B,-36,-24,10
47,17Networks_LH_SomMotB_Aud_4,SomMot,SomMot B,-38,-8,12
48,17Networks_LH_SomMotB_Aud_5,SomMot,SomMot B,-36,-26,18
49,17Networks_LH_SomMotB_Aud_6,SomMot,SomMot B,-58,-36,16
